Goals_pG,Assists_pG,Yel_pG,Red_pG,Shot_pG,Pass_success_rate,AerialsWon_pG,Rating
0.133333333,0.266666667,0.2,0,1.3,68.1,0.3,6.76
0,0.076923077,0.230769231,0.076923077,0.4,95.6,1.5,6.76
0.066666667,0.133333333,0.066666667,0,0.6,86.4,0.5,6.76
0.133333333,0,0.066666667,0,0.6,87.6,1.9,6.76
0.1,0.1,0,0,0.7,84.2,1.2,6.76
0,0.071428571,0.142857143,0,0.4,90.6,0.9,6.76
0,0,0,0,0,81.1,0.4,6.76
0,0.2,0,0,1.1,79,0.2,6.75
0,0,0.214285714,0,0.6,91.3,2,6.75
0.066666667,0.133333333,0.133333333,0,1.3,78.3,1.3,6.75
0,0,0.066666667,0,1,81.2,1.9,6.75
0,0,0.071428571,0,0,74.4,0.4,6.75
0.071428571,0.142857143,0.285714286,0,0.6,84.6,0.4,6.75
0,0,0.181818182,0,0.3,83.1,1.5,6.75
0,0.076923077,0.076923077,0,0,68,0.3,6.75
0.214285714,0.071428571,0,0,1.1,87.4,0.3,6.75
0,0,0.090909091,0.090909091,0.5,90.4,0.3,6.75
0.066666667,0.333333333,0.066666667,0,0.9,82,0.1,6.75
0.333333333,0,0.111111111,0,1.7,81,0.1,6.75
0,0.090909091,0.181818182,0,0.5,83.4,0.3,6.75
0.214285714,0.142857143,0.071428571,0,1.6,78.6,0.7,6.74
0.3,0.2,0.2,0,1.3,60.9,0.5,6.74
0,0,0,0,0.4,81.5,1.6,6.74
0.166666667,0.166666667,0.5,0,0.8,83.6,0.5,6.74
0,0,0.071428571,0,1.6,88.6,0.4,6.74
0.071428571,0.071428571,0.214285714,0,0.5,89.4,1.1,6.74
0.1,0,0.3,0,0.6,77.9,0.8,6.74
0,0,0.285714286,0,0.3,90,0.7,6.74
0.166666667,0,0.333333333,0,1.5,91.9,1.3,6.74
0,0.071428571,0.071428571,0.071428571,0.5,81.5,0.8,6.74
